,hour,weekday,month,off_cat,cnt
437,0,Sunday,Jan,Assault Offenses,21
438,0,Sunday,Jan,Burglary/Breaking & Entering,3
439,0,Sunday,Jan,Counterfeiting/Forgery,1
440,0,Sunday,Jan,Destruction/Damage/Vandalism of Property,4
441,0,Sunday,Jan,Drug/Narcotic Offenses,2
442,0,Sunday,Jan,Fraud Offenses,1
443,0,Sunday,Jan,Larceny/Theft Offenses,7
444,0,Sunday,Jan,Motor Vehicle Theft,3
445,0,Sunday,Jan,Robbery,1
446,0,Sunday,Jan,Weapon Law Violations,2
426,0,Sunday,Feb,Assault Offenses,32
427,0,Sunday,Feb,Burglary/Breaking & Entering,2
428,0,Sunday,Feb,Destruction/Damage/Vandalism of Property,6
429,0,Sunday,Feb,Drug/Narcotic Offenses,2
430,0,Sunday,Feb,Fraud Offenses,2
431,0,Sunday,Feb,Homicide Offenses,1
432,0,Sunday,Feb,Kidnapping/Abduction,1
433,0,Sunday,Feb,Larceny/Theft Offenses,3
434,0,Sunday,Feb,Motor Vehicle Theft,1
435,0,Sunday,Feb,Robbery,3
436,0,Sunday,Feb,Weapon Law Violations,3
470,0,Sunday,Mar,Assault Offenses,27
471,0,Sunday,Mar,Burglary/Breaking & Entering,1
472,0,Sunday,Mar,Counterfeiting/Forgery,1
473,0,Sunday,Mar,Destruction/Damage/Vandalism of Property,11
474,0,Sunday,Mar,Drug/Narcotic Offenses,3
475,0,Sunday,Mar,Larceny/Theft Offenses,9
476,0,Sunday,Mar,Motor Vehicle Theft,2
477,0,Sunday,Mar,Robbery,1
478,0,Sunday,Mar,Sex Offenses,1
479,0,Sunday,Mar,Weapon Law Violations,3
391,0,Sunday,Apr,Assault Offenses,26
392,0,Sunday,Apr,Burglary/Breaking & Entering,2
393,0,Sunday,Apr,Destruction/Damage/Vandalism of Property,14
394,0,Sunday,Apr,Drug/Narcotic Offenses,4
395,0,Sunday,Apr,Embezzlement,1
396,0,Sunday,Apr,Fraud Offenses,1
397,0,Sunday,Apr,Larceny/Theft Offenses,3
398,0,Sunday,Apr,Motor Vehicle Theft,1
399,0,Sunday,Apr,Sex Offenses,1
400,0,Sunday,Apr,Weapon Law Violations,3
480,0,Sunday,May,Assault Offenses,36
481,0,Sunday,May,Burglary/Breaking & Entering,4
482,0,Sunday,May,Destruction/Damage/Vandalism of Property,14
483,0,Sunday,May,Drug/Narcotic Offenses,6
484,0,Sunday,May,Larceny/Theft Offenses,3
485,0,Sunday,May,Motor Vehicle Theft,3
486,0,Sunday,May,Robbery,2
487,0,Sunday,May,Sex Offenses,1
488,0,Sunday,May,Stolen Property Offenses,3
489,0,Sunday,May,Weapon Law Violations,1
457,0,Sunday,Jun,Assault Offenses,47
458,0,Sunday,Jun,Burglary/Breaking & Entering,7
459,0,Sunday,Jun,Counterfeiting/Forgery,1
460,0,Sunday,Jun,Destruction/Damage/Vandalism of Property,22
461,0,Sunday,Jun,Drug/Narcotic Offenses,4
462,0,Sunday,Jun,Fraud Offenses,1
463,0,Sunday,Jun,Homicide Offenses,1
464,0,Sunday,Jun,Larceny/Theft Offenses,12
465,0,Sunday,Jun,Motor Vehicle Theft,1
466,0,Sunday,Jun,Robbery,4
467,0,Sunday,Jun,Sex Offenses,1
468,0,Sunday,Jun,Stolen Property Offenses,2
469,0,Sunday,Jun,Weapon Law Violations,3
447,0,Sunday,Jul,Arson,1
448,0,Sunday,Jul,Assault Offenses,35
449,0,Sunday,Jul,Burglary/Breaking & Entering,5
450,0,Sunday,Jul,Counterfeiting/Forgery,1
451,0,Sunday,Jul,Destruction/Damage/Vandalism of Property,10
452,0,Sunday,Jul,Drug/Narcotic Offenses,5
453,0,Sunday,Jul,Larceny/Theft Offenses,5
454,0,Sunday,Jul,Motor Vehicle Theft,2
455,0,Sunday,Jul,Robbery,1
456,0,Sunday,Jul,Weapon Law Violations,1
401,0,Sunday,Aug,Assault Offenses,39
402,0,Sunday,Aug,Burglary/Breaking & Entering,7
403,0,Sunday,Aug,Destruction/Damage/Vandalism of Property,13
404,0,Sunday,Aug,Drug/Narcotic Offenses,1
405,0,Sunday,Aug,Extortion/Blackmail,1
406,0,Sunday,Aug,Homicide Offenses,1
407,0,Sunday,Aug,Larceny/Theft Offenses,7
408,0,Sunday,Aug,Motor Vehicle Theft,2
409,0,Sunday,Aug,Robbery,3
410,0,Sunday,Aug,Sex Offenses,1
411,0,Sunday,Aug,"Sex Offenses, Non-forcible",1
412,0,Sunday,Aug,Stolen Property Offenses,1
413,0,Sunday,Aug,Weapon Law Violations,4
513,0,Sunday,Sep,Assault Offenses,41
514,0,Sunday,Sep,Burglary/Breaking & Entering,8
515,0,Sunday,Sep,Counterfeiting/Forgery,1
516,0,Sunday,Sep,Destruction/Damage/Vandalism of Property,12
517,0,Sunday,Sep,Drug/Narcotic Offenses,6
518,0,Sunday,Sep,Fraud Offenses,1
519,0,Sunday,Sep,Larceny/Theft Offenses,6
520,0,Sunday,Sep,Motor Vehicle Theft,5
521,0,Sunday,Sep,Robbery,2
522,0,Sunday,Sep,Stolen Property Offenses,1
523,0,Sunday,Sep,Weapon Law Violations,4
500,0,Sunday,Oct,Assault Offenses,56
501,0,Sunday,Oct,Burglary/Breaking & Entering,6
502,0,Sunday,Oct,Counterfeiting/Forgery,2
503,0,Sunday,Oct,Destruction/Damage/Vandalism of Property,24
504,0,Sunday,Oct,Drug/Narcotic Offenses,7
505,0,Sunday,Oct,Extortion/Blackmail,1
506,0,Sunday,Oct,Fraud Offenses,5
507,0,Sunday,Oct,Larceny/Theft Offenses,21
508,0,Sunday,Oct,Motor Vehicle Theft,2
509,0,Sunday,Oct,Robbery,3
510,0,Sunday,Oct,Sex Offenses,3
511,0,Sunday,Oct,Stolen Property Offenses,1
512,0,Sunday,Oct,Weapon Law Violations,2
490,0,Sunday,Nov,Assault Offenses,60
491,0,Sunday,Nov,Burglary/Breaking & Entering,3
492,0,Sunday,Nov,Destruction/Damage/Vandalism of Property,26
493,0,Sunday,Nov,Drug/Narcotic Offenses,5
494,0,Sunday,Nov,Fraud Offenses,7
495,0,Sunday,Nov,Larceny/Theft Offenses,16
496,0,Sunday,Nov,Motor Vehicle Theft,1
497,0,Sunday,Nov,Robbery,1
498,0,Sunday,Nov,Sex Offenses,4
499,0,Sunday,Nov,Stolen Property Offenses,1
414,0,Sunday,Dec,Assault Offenses,71
415,0,Sunday,Dec,Burglary/Breaking & Entering,12
416,0,Sunday,Dec,Counterfeiting/Forgery,2
417,0,Sunday,Dec,Destruction/Damage/Vandalism of Property,22
418,0,Sunday,Dec,Drug/Narcotic Offenses,4
419,0,Sunday,Dec,Fraud Offenses,12
420,0,Sunday,Dec,Larceny/Theft Offenses,24
421,0,Sunday,Dec,Motor Vehicle Theft,3
422,0,Sunday,Dec,Robbery,7
423,0,Sunday,Dec,Sex Offenses,4
424,0,Sunday,Dec,Stolen Property Offenses,1
425,0,Sunday,Dec,Weapon Law Violations,2
170,0,Monday,Jan,Assault Offenses,13
171,0,Monday,Jan,Burglary/Breaking & Entering,4
172,0,Monday,Jan,Destruction/Damage/Vandalism of Property,3
173,0,Monday,Jan,Drug/Narcotic Offenses,3
174,0,Monday,Jan,Fraud Offenses,1
175,0,Monday,Jan,Kidnapping/Abduction,1
176,0,Monday,Jan,Larceny/Theft Offenses,5
177,0,Monday,Jan,Robbery,1
178,0,Monday,Jan,Sex Offenses,2
179,0,Monday,Jan,Weapon Law Violations,1
159,0,Monday,Feb,Assault Offenses,24
160,0,Monday,Feb,Burglary/Breaking & Entering,4
161,0,Monday,Feb,Destruction/Damage/Vandalism of Property,4
162,0,Monday,Feb,Drug/Narcotic Offenses,4
163,0,Monday,Feb,Kidnapping/Abduction,1
164,0,Monday,Feb,Larceny/Theft Offenses,2
165,0,Monday,Feb,Motor Vehicle Theft,3
166,0,Monday,Feb,Prostitution Offenses,1
167,0,Monday,Feb,Robbery,2
168,0,Monday,Feb,Sex Offenses,2
169,0,Monday,Feb,Weapon Law Violations,1
199,0,Monday,Mar,Assault Offenses,24
200,0,Monday,Mar,Counterfeiting/Forgery,1
201,0,Monday,Mar,Destruction/Damage/Vandalism of Property,5
202,0,Monday,Mar,Drug/Narcotic Offenses,5
203,0,Monday,Mar,Fraud Offenses,1
204,0,Monday,Mar,Larceny/Theft Offenses,6
205,0,Monday,Mar,Motor Vehicle Theft,2
206,0,Monday,Mar,Sex Offenses,1
125,0,Monday,Apr,Arson,1
126,0,Monday,Apr,Assault Offenses,19
127,0,Monday,Apr,Burglary/Breaking & Entering,3
128,0,Monday,Apr,Counterfeiting/Forgery,1
129,0,Monday,Apr,Destruction/Damage/Vandalism of Property,13
130,0,Monday,Apr,Drug/Narcotic Offenses,4
131,0,Monday,Apr,Extortion/Blackmail,1
132,0,Monday,Apr,Fraud Offenses,2
133,0,Monday,Apr,Larceny/Theft Offenses,6
134,0,Monday,Apr,Motor Vehicle Theft,2
207,0,Monday,May,Assault Offenses,22
208,0,Monday,May,Burglary/Breaking & Entering,5
209,0,Monday,May,Destruction/Damage/Vandalism of Property,10
210,0,Monday,May,Drug/Narcotic Offenses,3
211,0,Monday,May,Fraud Offenses,1
212,0,Monday,May,Larceny/Theft Offenses,11
213,0,Monday,May,Motor Vehicle Theft,5
214,0,Monday,May,Sex Offenses,1
215,0,Monday,May,Weapon Law Violations,2
189,0,Monday,Jun,Assault Offenses,14
190,0,Monday,Jun,Burglary/Breaking & Entering,4
191,0,Monday,Jun,Destruction/Damage/Vandalism of Property,8
192,0,Monday,Jun,Drug/Narcotic Offenses,2
193,0,Monday,Jun,Fraud Offenses,1
194,0,Monday,Jun,Kidnapping/Abduction,1
195,0,Monday,Jun,Larceny/Theft Offenses,6
196,0,Monday,Jun,Robbery,2
197,0,Monday,Jun,Sex Offenses,2
198,0,Monday,Jun,Weapon Law Violations,2
180,0,Monday,Jul,Arson,1
181,0,Monday,Jul,Assault Offenses,35
182,0,Monday,Jul,Burglary/Breaking & Entering,7
183,0,Monday,Jul,Destruction/Damage/Vandalism of Property,8
184,0,Monday,Jul,Drug/Narcotic Offenses,4
185,0,Monday,Jul,Larceny/Theft Offenses,6
186,0,Monday,Jul,Motor Vehicle Theft,4
187,0,Monday,Jul,Robbery,4
188,0,Monday,Jul,Sex Offenses,1
135,0,Monday,Aug,Assault Offenses,29
136,0,Monday,Aug,Burglary/Breaking & Entering,2
137,0,Monday,Aug,Destruction/Damage/Vandalism of Property,6
138,0,Monday,Aug,Drug/Narcotic Offenses,2
139,0,Monday,Aug,Embezzlement,1
140,0,Monday,Aug,Fraud Offenses,1
141,0,Monday,Aug,Kidnapping/Abduction,1
142,0,Monday,Aug,Larceny/Theft Offenses,10
143,0,Monday,Aug,Motor Vehicle Theft,2
144,0,Monday,Aug,Robbery,1
145,0,Monday,Aug,Weapon Law Violations,1
239,0,Monday,Sep,Assault Offenses,23
240,0,Monday,Sep,Burglary/Breaking & Entering,2
241,0,Monday,Sep,Counterfeiting/Forgery,1
242,0,Monday,Sep,Destruction/Damage/Vandalism of Property,12
243,0,Monday,Sep,Drug/Narcotic Offenses,2
244,0,Monday,Sep,Extortion/Blackmail,1
245,0,Monday,Sep,Larceny/Theft Offenses,5
246,0,Monday,Sep,Robbery,2
247,0,Monday,Sep,Sex Offenses,2
248,0,Monday,Sep,Weapon Law Violations,2
229,0,Monday,Oct,Assault Offenses,47
230,0,Monday,Oct,Burglary/Breaking & Entering,7
231,0,Monday,Oct,Counterfeiting/Forgery,2
232,0,Monday,Oct,Destruction/Damage/Vandalism of Property,13
233,0,Monday,Oct,Drug/Narcotic Offenses,10
234,0,Monday,Oct,Fraud Offenses,9
235,0,Monday,Oct,Larceny/Theft Offenses,23
236,0,Monday,Oct,Motor Vehicle Theft,1
237,0,Monday,Oct,Robbery,1
238,0,Monday,Oct,Stolen Property Offenses,1
216,0,Monday,Nov,Assault Offenses,27
217,0,Monday,Nov,Burglary/Breaking & Entering,6
218,0,Monday,Nov,Counterfeiting/Forgery,1
219,0,Monday,Nov,Destruction/Damage/Vandalism of Property,9
220,0,Monday,Nov,Drug/Narcotic Offenses,7
221,0,Monday,Nov,Fraud Offenses,12
222,0,Monday,Nov,Larceny/Theft Offenses,13
223,0,Monday,Nov,Motor Vehicle Theft,1
224,0,Monday,Nov,Prostitution Offenses,1
225,0,Monday,Nov,Robbery,4
226,0,Monday,Nov,Sex Offenses,1
227,0,Monday,Nov,Stolen Property Offenses,1
228,0,Monday,Nov,Weapon Law Violations,1
146,0,Monday,Dec,Assault Offenses,31
147,0,Monday,Dec,Burglary/Breaking & Entering,9
148,0,Monday,Dec,Counterfeiting/Forgery,2
149,0,Monday,Dec,Destruction/Damage/Vandalism of Property,9
150,0,Monday,Dec,Drug/Narcotic Offenses,9
151,0,Monday,Dec,Fraud Offenses,9
152,0,Monday,Dec,Larceny/Theft Offenses,23
153,0,Monday,Dec,Motor Vehicle Theft,1
154,0,Monday,Dec,Prostitution Offenses,2
155,0,Monday,Dec,Robbery,1
156,0,Monday,Dec,Sex Offenses,2
157,0,Monday,Dec,Stolen Property Offenses,1
158,0,Monday,Dec,Weapon Law Violations,4
682,0,Tuesday,Jan,Assault Offenses,22
683,0,Tuesday,Jan,Burglary/Breaking & Entering,4
684,0,Tuesday,Jan,Destruction/Damage/Vandalism of Property,7
685,0,Tuesday,Jan,Drug/Narcotic Offenses,3
686,0,Tuesday,Jan,Fraud Offenses,3
687,0,Tuesday,Jan,Larceny/Theft Offenses,8
688,0,Tuesday,Jan,Robbery,2
689,0,Tuesday,Jan,Weapon Law Violations,3
675,0,Tuesday,Feb,Assault Offenses,18
676,0,Tuesday,Feb,Burglary/Breaking & Entering,2
677,0,Tuesday,Feb,Destruction/Damage/Vandalism of Property,4
678,0,Tuesday,Feb,Drug/Narcotic Offenses,1
679,0,Tuesday,Feb,Fraud Offenses,2
680,0,Tuesday,Feb,Larceny/Theft Offenses,2
681,0,Tuesday,Feb,Pornography/Obscene Material,1
711,0,Tuesday,Mar,Assault Offenses,14
712,0,Tuesday,Mar,Burglary/Breaking & Entering,1
713,0,Tuesday,Mar,Destruction/Damage/Vandalism of Property,6
714,0,Tuesday,Mar,Drug/Narcotic Offenses,1
715,0,Tuesday,Mar,Extortion/Blackmail,1
716,0,Tuesday,Mar,Larceny/Theft Offenses,7
717,0,Tuesday,Mar,Robbery,2
718,0,Tuesday,Mar,Sex Offenses,1
719,0,Tuesday,Mar,Weapon Law Violations,1
643,0,Tuesday,Apr,Assault Offenses,17
644,0,Tuesday,Apr,Burglary/Breaking & Entering,5
645,0,Tuesday,Apr,Destruction/Damage/Vandalism of Property,10
646,0,Tuesday,Apr,Drug/Narcotic Offenses,3
647,0,Tuesday,Apr,Fraud Offenses,1
648,0,Tuesday,Apr,Larceny/Theft Offenses,6
649,0,Tuesday,Apr,Motor Vehicle Theft,1
650,0,Tuesday,Apr,Prostitution Offenses,1
651,0,Tuesday,Apr,Robbery,2
652,0,Tuesday,Apr,Sex Offenses,1
653,0,Tuesday,Apr,Weapon Law Violations,1
720,0,Tuesday,May,Assault Offenses,18
721,0,Tuesday,May,Burglary/Breaking & Entering,1
722,0,Tuesday,May,Destruction/Damage/Vandalism of Property,7
723,0,Tuesday,May,Drug/Narcotic Offenses,3
724,0,Tuesday,May,Fraud Offenses,1
725,0,Tuesday,May,Larceny/Theft Offenses,5
726,0,Tuesday,May,Motor Vehicle Theft,2
727,0,Tuesday,May,Stolen Property Offenses,1
728,0,Tuesday,May,Weapon Law Violations,3
701,0,Tuesday,Jun,Assault Offenses,21
702,0,Tuesday,Jun,Burglary/Breaking & Entering,6
703,0,Tuesday,Jun,Destruction/Damage/Vandalism of Property,8
704,0,Tuesday,Jun,Drug/Narcotic Offenses,4
705,0,Tuesday,Jun,Fraud Offenses,1
706,0,Tuesday,Jun,Kidnapping/Abduction,2
707,0,Tuesday,Jun,Larceny/Theft Offenses,15
708,0,Tuesday,Jun,Robbery,2
709,0,Tuesday,Jun,Sex Offenses,1
710,0,Tuesday,Jun,Stolen Property Offenses,1
690,0,Tuesday,Jul,Arson,1
691,0,Tuesday,Jul,Assault Offenses,17
692,0,Tuesday,Jul,Burglary/Breaking & Entering,4
693,0,Tuesday,Jul,Destruction/Damage/Vandalism of Property,9
694,0,Tuesday,Jul,Drug/Narcotic Offenses,5
695,0,Tuesday,Jul,Extortion/Blackmail,1
696,0,Tuesday,Jul,Fraud Offenses,1
697,0,Tuesday,Jul,Larceny/Theft Offenses,8
698,0,Tuesday,Jul,Motor Vehicle Theft,2
699,0,Tuesday,Jul,Robbery,2
700,0,Tuesday,Jul,Weapon Law Violations,2
654,0,Tuesday,Aug,Arson,2
655,0,Tuesday,Aug,Assault Offenses,15
656,0,Tuesday,Aug,Burglary/Breaking & Entering,2
657,0,Tuesday,Aug,Destruction/Damage/Vandalism of Property,9
658,0,Tuesday,Aug,Drug/Narcotic Offenses,1
659,0,Tuesday,Aug,Kidnapping/Abduction,1
660,0,Tuesday,Aug,Larceny/Theft Offenses,5
661,0,Tuesday,Aug,Motor Vehicle Theft,1
662,0,Tuesday,Aug,Robbery,1
663,0,Tuesday,Aug,Weapon Law Violations,3
753,0,Tuesday,Sep,Assault Offenses,17
754,0,Tuesday,Sep,Burglary/Breaking & Entering,1
755,0,Tuesday,Sep,Destruction/Damage/Vandalism of Property,5
756,0,Tuesday,Sep,Drug/Narcotic Offenses,1
757,0,Tuesday,Sep,Fraud Offenses,1
758,0,Tuesday,Sep,Larceny/Theft Offenses,6
759,0,Tuesday,Sep,Robbery,1
760,0,Tuesday,Sep,Stolen Property Offenses,1
761,0,Tuesday,Sep,Weapon Law Violations,3
740,0,Tuesday,Oct,Assault Offenses,51
741,0,Tuesday,Oct,Burglary/Breaking & Entering,11
742,0,Tuesday,Oct,Counterfeiting/Forgery,3
743,0,Tuesday,Oct,Destruction/Damage/Vandalism of Property,8
744,0,Tuesday,Oct,Drug/Narcotic Offenses,13
745,0,Tuesday,Oct,Fraud Offenses,16
746,0,Tuesday,Oct,Kidnapping/Abduction,1
747,0,Tuesday,Oct,Larceny/Theft Offenses,26
748,0,Tuesday,Oct,Motor Vehicle Theft,3
749,0,Tuesday,Oct,Pornography/Obscene Material,1
750,0,Tuesday,Oct,Robbery,8
751,0,Tuesday,Oct,Stolen Property Offenses,2
752,0,Tuesday,Oct,Weapon Law Violations,4
729,0,Tuesday,Nov,Assault Offenses,23
730,0,Tuesday,Nov,Burglary/Breaking & Entering,1
731,0,Tuesday,Nov,Destruction/Damage/Vandalism of Property,10
732,0,Tuesday,Nov,Drug/Narcotic Offenses,10
733,0,Tuesday,Nov,Extortion/Blackmail,1
734,0,Tuesday,Nov,Fraud Offenses,13
735,0,Tuesday,Nov,Larceny/Theft Offenses,15
736,0,Tuesday,Nov,Pornography/Obscene Material,1
737,0,Tuesday,Nov,Robbery,2
738,0,Tuesday,Nov,Sex Offenses,1
739,0,Tuesday,Nov,Weapon Law Violations,1
664,0,Tuesday,Dec,Assault Offenses,49
665,0,Tuesday,Dec,Burglary/Breaking & Entering,9
666,0,Tuesday,Dec,Destruction/Damage/Vandalism of Property,16
667,0,Tuesday,Dec,Fraud Offenses,11
668,0,Tuesday,Dec,Homicide Offenses,1
669,0,Tuesday,Dec,Larceny/Theft Offenses,23
670,0,Tuesday,Dec,Motor Vehicle Theft,4
671,0,Tuesday,Dec,Pornography/Obscene Material,1
672,0,Tuesday,Dec,Robbery,1
673,0,Tuesday,Dec,Sex Offenses,1
674,0,Tuesday,Dec,Weapon Law Violations,2
803,0,Wednesday,Jan,Arson,1
804,0,Wednesday,Jan,Assault Offenses,23
805,0,Wednesday,Jan,Burglary/Breaking & Entering,4
806,0,Wednesday,Jan,Destruction/Damage/Vandalism of Property,6
807,0,Wednesday,Jan,Drug/Narcotic Offenses,1
808,0,Wednesday,Jan,Fraud Offenses,2
809,0,Wednesday,Jan,Larceny/Theft Offenses,8
810,0,Wednesday,Jan,Motor Vehicle Theft,4
811,0,Wednesday,Jan,Robbery,1
812,0,Wednesday,Jan,Sex Offenses,1
813,0,Wednesday,Jan,Stolen Property Offenses,1
814,0,Wednesday,Jan,Weapon Law Violations,1
793,0,Wednesday,Feb,Arson,1
794,0,Wednesday,Feb,Assault Offenses,20
795,0,Wednesday,Feb,Burglary/Breaking & Entering,4
796,0,Wednesday,Feb,Destruction/Damage/Vandalism of Property,4
797,0,Wednesday,Feb,Drug/Narcotic Offenses,1
798,0,Wednesday,Feb,Fraud Offenses,3
799,0,Wednesday,Feb,Larceny/Theft Offenses,6
800,0,Wednesday,Feb,Motor Vehicle Theft,1
801,0,Wednesday,Feb,Robbery,1
802,0,Wednesday,Feb,Stolen Property Offenses,1
837,0,Wednesday,Mar,Assault Offenses,14
838,0,Wednesday,Mar,Burglary/Breaking & Entering,2
839,0,Wednesday,Mar,Destruction/Damage/Vandalism of Property,3
840,0,Wednesday,Mar,Drug/Narcotic Offenses,3
841,0,Wednesday,Mar,Fraud Offenses,3
842,0,Wednesday,Mar,Larceny/Theft Offenses,4
843,0,Wednesday,Mar,Motor Vehicle Theft,1
844,0,Wednesday,Mar,Robbery,1
762,0,Wednesday,Apr,Assault Offenses,17
763,0,Wednesday,Apr,Burglary/Breaking & Entering,4
764,0,Wednesday,Apr,Destruction/Damage/Vandalism of Property,4
765,0,Wednesday,Apr,Drug/Narcotic Offenses,2
766,0,Wednesday,Apr,Fraud Offenses,1
767,0,Wednesday,Apr,Homicide Offenses,1
768,0,Wednesday,Apr,Larceny/Theft Offenses,6
769,0,Wednesday,Apr,Robbery,2
770,0,Wednesday,Apr,Weapon Law Violations,2
845,0,Wednesday,May,Assault Offenses,19
846,0,Wednesday,May,Destruction/Damage/Vandalism of Property,9
847,0,Wednesday,May,Drug/Narcotic Offenses,4
848,0,Wednesday,May,Larceny/Theft Offenses,7
849,0,Wednesday,May,Motor Vehicle Theft,1
850,0,Wednesday,May,Robbery,1
851,0,Wednesday,May,"Sex Offenses, Non-forcible",1
852,0,Wednesday,May,Weapon Law Violations,3
827,0,Wednesday,Jun,Assault Offenses,22
828,0,Wednesday,Jun,Burglary/Breaking & Entering,2
829,0,Wednesday,Jun,Destruction/Damage/Vandalism of Property,8
830,0,Wednesday,Jun,Drug/Narcotic Offenses,2
831,0,Wednesday,Jun,Fraud Offenses,1
832,0,Wednesday,Jun,Larceny/Theft Offenses,4
833,0,Wednesday,Jun,Robbery,3
834,0,Wednesday,Jun,"Sex Offenses, Non-forcible",1
835,0,Wednesday,Jun,Stolen Property Offenses,1
836,0,Wednesday,Jun,Weapon Law Violations,1
815,0,Wednesday,Jul,Assault Offenses,31
816,0,Wednesday,Jul,Burglary/Breaking & Entering,3
817,0,Wednesday,Jul,Destruction/Damage/Vandalism of Property,9
818,0,Wednesday,Jul,Drug/Narcotic Offenses,6
819,0,Wednesday,Jul,Fraud Offenses,1
820,0,Wednesday,Jul,Homicide Offenses,1
821,0,Wednesday,Jul,Kidnapping/Abduction,1
822,0,Wednesday,Jul,Larceny/Theft Offenses,8
823,0,Wednesday,Jul,Motor Vehicle Theft,2
824,0,Wednesday,Jul,Robbery,2
825,0,Wednesday,Jul,"Sex Offenses, Non-forcible",1
826,0,Wednesday,Jul,Weapon Law Violations,3
771,0,Wednesday,Aug,Arson,1
772,0,Wednesday,Aug,Assault Offenses,18
773,0,Wednesday,Aug,Burglary/Breaking & Entering,5
774,0,Wednesday,Aug,Destruction/Damage/Vandalism of Property,8
775,0,Wednesday,Aug,Drug/Narcotic Offenses,2
776,0,Wednesday,Aug,Gambling Offenses,1
777,0,Wednesday,Aug,Kidnapping/Abduction,2
778,0,Wednesday,Aug,Larceny/Theft Offenses,9
779,0,Wednesday,Aug,Robbery,4
780,0,Wednesday,Aug,Sex Offenses,3
878,0,Wednesday,Sep,Arson,1
879,0,Wednesday,Sep,Assault Offenses,18
880,0,Wednesday,Sep,Burglary/Breaking & Entering,2
881,0,Wednesday,Sep,Destruction/Damage/Vandalism of Property,4
882,0,Wednesday,Sep,Drug/Narcotic Offenses,3
883,0,Wednesday,Sep,Fraud Offenses,1
884,0,Wednesday,Sep,Larceny/Theft Offenses,9
885,0,Wednesday,Sep,Motor Vehicle Theft,2
886,0,Wednesday,Sep,Sex Offenses,1
865,0,Wednesday,Oct,Assault Offenses,56
866,0,Wednesday,Oct,Burglary/Breaking & Entering,5
867,0,Wednesday,Oct,Counterfeiting/Forgery,2
868,0,Wednesday,Oct,Destruction/Damage/Vandalism of Property,15
869,0,Wednesday,Oct,Drug/Narcotic Offenses,19
870,0,Wednesday,Oct,Fraud Offenses,21
871,0,Wednesday,Oct,Kidnapping/Abduction,2
872,0,Wednesday,Oct,Larceny/Theft Offenses,24
873,0,Wednesday,Oct,Motor Vehicle Theft,2
874,0,Wednesday,Oct,Pornography/Obscene Material,2
875,0,Wednesday,Oct,Robbery,4
876,0,Wednesday,Oct,Sex Offenses,2
877,0,Wednesday,Oct,Weapon Law Violations,3
853,0,Wednesday,Nov,Assault Offenses,34
854,0,Wednesday,Nov,Burglary/Breaking & Entering,2
855,0,Wednesday,Nov,Counterfeiting/Forgery,1
856,0,Wednesday,Nov,Destruction/Damage/Vandalism of Property,11
857,0,Wednesday,Nov,Drug/Narcotic Offenses,13
858,0,Wednesday,Nov,Fraud Offenses,12
859,0,Wednesday,Nov,Kidnapping/Abduction,1
860,0,Wednesday,Nov,Larceny/Theft Offenses,31
861,0,Wednesday,Nov,Prostitution Offenses,1
862,0,Wednesday,Nov,Robbery,5
863,0,Wednesday,Nov,Sex Offenses,1
864,0,Wednesday,Nov,Stolen Property Offenses,1
781,0,Wednesday,Dec,Assault Offenses,34
782,0,Wednesday,Dec,Burglary/Breaking & Entering,5
783,0,Wednesday,Dec,Counterfeiting/Forgery,3
784,0,Wednesday,Dec,Destruction/Damage/Vandalism of Property,15
785,0,Wednesday,Dec,Drug/Narcotic Offenses,8
786,0,Wednesday,Dec,Extortion/Blackmail,2
787,0,Wednesday,Dec,Fraud Offenses,8
788,0,Wednesday,Dec,Larceny/Theft Offenses,16
789,0,Wednesday,Dec,Motor Vehicle Theft,1
790,0,Wednesday,Dec,Robbery,1
791,0,Wednesday,Dec,Sex Offenses,1
792,0,Wednesday,Dec,Weapon Law Violations,1
558,0,Thursday,Jan,Assault Offenses,14
559,0,Thursday,Jan,Burglary/Breaking & Entering,5
560,0,Thursday,Jan,Destruction/Damage/Vandalism of Property,8
561,0,Thursday,Jan,Drug/Narcotic Offenses,1
562,0,Thursday,Jan,Larceny/Theft Offenses,5
563,0,Thursday,Jan,Motor Vehicle Theft,1
564,0,Thursday,Jan,Robbery,3
565,0,Thursday,Jan,Stolen Property Offenses,1
566,0,Thursday,Jan,Weapon Law Violations,1
551,0,Thursday,Feb,Assault Offenses,18
552,0,Thursday,Feb,Burglary/Breaking & Entering,4
553,0,Thursday,Feb,Destruction/Damage/Vandalism of Property,5
554,0,Thursday,Feb,Drug/Narcotic Offenses,3
555,0,Thursday,Feb,Fraud Offenses,1
556,0,Thursday,Feb,Larceny/Theft Offenses,4
557,0,Thursday,Feb,Sex Offenses,1
585,0,Thursday,Mar,Assault Offenses,17
586,0,Thursday,Mar,Burglary/Breaking & Entering,1
587,0,Thursday,Mar,Counterfeiting/Forgery,1
588,0,Thursday,Mar,Destruction/Damage/Vandalism of Property,1
589,0,Thursday,Mar,Drug/Narcotic Offenses,3
590,0,Thursday,Mar,Fraud Offenses,1
591,0,Thursday,Mar,Larceny/Theft Offenses,2
592,0,Thursday,Mar,Motor Vehicle Theft,1
593,0,Thursday,Mar,Pornography/Obscene Material,1
594,0,Thursday,Mar,Robbery,1
595,0,Thursday,Mar,"Sex Offenses, Non-forcible",1
524,0,Thursday,Apr,Assault Offenses,16
